date,open,high,low,close
2026-01-01,21500.0,21553.58,21470.75,21541.83
2026-01-02,21541.83,21603.38,21401.42,21458.79
2026-01-05,21458.79,21592.53,21419.26,21576.44
2026-01-06,21576.44,21601.74,21390.01,21435.38
2026-01-07,21435.38,21459.3,21237.85,21293.34
2026-01-08,21293.34,21332.25,21242.09,21306.82
2026-01-09,21306.82,21410.1,21240.41,21399.65
2026-01-12,21399.65,21492.91,21378.77,21459.09
2026-01-13,21459.09,21629.81,21442.6,21596.25
2026-01-14,21596.25,21665.57,21423.0,21475.26
2026-01-15,21475.26,21628.48,21427.72,21567.4
2026-01-16,21567.4,21745.83,21518.76,21709.33
2026-01-19,21709.33,21861.45,21639.01,21808.15
2026-01-20,21808.15,21890.68,21794.94,21831.36
2026-01-21,21831.36,21861.62,21734.14,21749.73
2026-01-22,21749.73,21766.8,21640.11,21669.57
2026-01-23,21669.57,21745.82,21633.66,21710.28
2026-01-26,21710.28,21738.97,21547.56,21623.13
2026-01-27,21623.13,21720.18,21601.15,21667.54
2026-01-28,21667.54,21757.72,21630.98,21736.28
2026-01-29,21736.28,21937.94,21687.29,21883.14
2026-01-30,21883.14,22007.52,21818.82,21938.52
2026-02-02,21938.52,21950.77,21825.15,21857.23
2026-02-03,21857.23,21882.0,21711.55,21787.55
2026-02-04,21787.55,21932.49,21731.67,21900.46
2026-02-05,21900.46,21974.48,21827.03,21869.15
2026-02-06,21869.15,21896.41,21749.31,21798.61
2026-02-09,21798.61,21849.53,21654.58,21727.43
2026-02-10,21727.43,21752.78,21617.42,21697.25
2026-02-11,21697.25,21716.47,21683.95,21700.11
2026-02-12,21700.11,21754.03,21517.55,21583.0
2026-02-13,21583.0,21597.45,21522.94,21559.65
2026-02-16,21559.65,21755.53,21481.67,21708.49
2026-02-17,21708.49,21827.52,21648.04,21816.72
2026-02-18,21816.72,21918.82,21788.04,21871.23
2026-02-19,21871.23,21931.33,21830.8,21913.52
2026-02-20,21913.52,21990.29,21828.33,21899.64
2026-02-23,21899.64,21944.68,21806.15,21828.66
2026-02-24,21828.66,22023.39,21797.77,21952.45
2026-02-25,21952.45,22046.76,21931.75,21994.13
2026-02-26,21994.13,22120.64,21929.63,22072.88
2026-02-27,22072.88,22092.03,22040.19,22081.99
2026-03-02,22081.99,22157.03,21866.32,21937.83
2026-03-03,21937.83,22068.86,21923.78,22037.33
2026-03-04,22037.33,22227.02,22021.33,22150.73
2026-03-05,22150.73,22165.57,22083.29,22146.53
2026-03-06,22146.53,22245.27,22103.26,22226.28
2026-03-09,22226.28,22269.77,22155.21,22241.22
2026-03-10,22241.22,22266.05,22170.41,22218.16
2026-03-11,22218.16,22311.22,22186.34,22287.14
